Table 1
County Name,Flown Over X Times,Lattitude Centroid,Longitude Centroid,
'Hancock County',132,41.001938375,-83.6665354077,
'Stafford County',357,38.4207190191,-77.4574003866,
'Webster County',72,40.1764332141,-98.4999473753,
'Dimmit County',32,28.4225359982,-99.756726125,
'Cedar County',163,41.7723266607,-91.1324230468,
'Deuel County',33,44.7600579518,-96.6679741404,
'Howard County',72,43.3567673364,-92.3171989039,
'Palm Beach County',1373,26.6475645688,-80.4365110484,
'St. Lawrence County',76,44.4964021427,-75.0689522747,
'Clark County',64,44.8582538926,-97.7294962958,
'Dundy County',186,40.1762352358,-101.687961438,
'Alamosa County',248,37.5728931402,-105.788288197,
'Citrus County',735,28.8475696914,-82.5201067311,
'Williamsburg County',247,33.6199254931,-79.7277120284,
'Walworth County',186,42.6684869829,-88.5419040709,
'Union County',94,39.6255458453,-84.9251420286,
'Kandiyohi County',62,45.1523823451,-95.0047424624,
'Washington County',86,44.9694591011,-67.6090594873,
'Hoke County',181,35.0175290075,-79.237290715,
'Waseca County',78,44.0221236545,-93.5872832229,
'Idaho County',110,45.8441976984,-115.46748731,
'Hitchcock County',121,40.1763469163,-101.042272426,
'Benson County',12,48.0693970137,-99.3660130155,
'Warren County',155,41.334373461,-93.5613593647,
'Lawrence County',332,40.9912143554,-80.3347070702,
'King William County',186,37.7065960005,-77.0885455088,
'Coos County',17,43.1851621531,-124.093318775,
'Iberville Parish',83,30.2584988738,-91.3493631932,
'Franklin County',17,29.8116835857,-84.8004565948,
'Union County',50,37.4712716191,-89.255127403,
'Beaufort County',380,32.3570482149,-80.6921989253,
'Crawford County',80,43.2394623005,-90.9310479025,
'Lubbock County',13,33.6102061227,-101.820545838,
'Dixie County',380,29.5812415277,-83.1870324531,
'Washington County',70,32.9695357353,-82.7958991685,
'Spokane County',701,47.6206643185,-117.403947339,
'Mercer County',23,37.4055150245,-81.1114444602,
'Escambia County',941,30.6143960313,-87.3413643298,
'Noble County',176,36.388599579,-97.2305066413,
'Washington County',136,35.8392646425,-76.5693098876,
'McDonough County',77,40.4562312432,-90.6778776624,
'Monmouth County',633,40.2875173476,-74.1582023922,
'Delaware County',182,36.4082132934,-94.8026575137,
'Bourbon County',65,37.8552256175,-94.8492968396,
'Kern County',1236,35.3428473738,-118.729900424,
'Braxton County',161,38.6998727176,-80.7192881391,
'Guilford County',335,36.0794717315,-79.7889042685,
'Pickens County',118,33.2808768859,-88.0886925942,
'Routt County',315,40.4850679408,-106.991193187,
'Danville city',189,36.5831912624,-79.4088067684,
'Roane County',106,38.7140255919,-81.3483495174,
'Winnebago County',281,42.3362603021,-89.1608658488,
'Brooks County',68,27.0315726438,-98.2187211196,
'Marshall County',82,41.0331711391,-89.3447914374,
'Iosco County',38,44.3370929481,-83.0853006647,
'Dixon County',59,42.4930987798,-96.8677208272,
'Appling County',172,31.7492803518,-82.288983582,
'Cherokee County',125,31.8369546469,-95.1651831384,
'Chippewa County',39,45.0223609495,-95.5667047202,
'Harrison County',84,30.4160496685,-89.081642685,
'Klickitat County',135,45.8738054472,-120.789207302,
'Park County',35,45.4883821256,-110.526662711,
