Baldwin County,Alabama,Gulf of Mexico,"208,563",30.66096966,-87.74984008
Mobile County,Alabama,Gulf of Mexico,"414,836",30.68515162,-88.19752335
Alameda County,California,Pacific,"1,647,704",37.65049303,-121.917999
Contra Costa County,California,Pacific,"1,135,127",37.92337945,-121.9510731
Del Norte County,California,Pacific,"27,540",41.74494237,-123.9578014
Humboldt County,California,Pacific,"136,646",40.70500908,-123.9158194
Los Angeles County,California,Pacific,"10,137,915",34.19799786,-118.2610139
Marin County,California,Pacific,"260,651",38.05518334,-122.7488586
Mendocino County,California,Pacific,"87,628",39.43362382,-123.4315539
Monterey County,California,Pacific,"435,232",36.2397744,-121.3089016
Orange County,California,Pacific,"3,172,532",28.51441626,-81.32347353
San Diego County,California,Pacific,"3,317,749",33.02818639,-116.7702047
San Francisco County,California,Pacific,"870,887",37.75971501,-122.6939756
San Luis Obispo County,California,Pacific,"282,887",35.38741848,-120.4521969
San Mateo County,California,Pacific,"764,797",37.43620973,-122.3556632
Santa Barbara County,California,Pacific,"446,170",34.53834409,-120.0307862
Santa Clara County,California,Pacific,"1,919,402",37.23248403,-121.6962789
Santa Cruz County,California,Pacific,"274,673",37.02160591,-122.0097874
Solano County,California,Pacific,"440,207",38.26691279,-121.9400244
Sonoma County,California,Pacific,"503,070",38.52529258,-122.9225447
Ventura County,California,Pacific,"849,738",34.35752852,-119.1260272
Fairfield County,Connecticut,Atlantic,"944,177",41.22496008,-73.37120461
Middlesex County,Connecticut,Atlantic,"163,329",41.4353818,-72.52311943
New Haven County,Connecticut,Atlantic,"856,875",41.34882429,-72.89985769
New London County,Connecticut,Atlantic,"269,801",41.46678625,-72.1065129
Kent County,Delaware,Atlantic,"174,827",39.09595454,-75.5046137
New Castle County,Delaware,Atlantic,"556,987",39.5783299,-75.63897813
Sussex County,Delaware,Atlantic,"220,251",38.68329735,-75.33954172
Bay County,Florida,Gulf of Mexico,"183,974",30.23764653,-85.63262281
Brevard County,Florida,Atlantic,"579,130",28.30031414,-80.70120548
Broward County,Florida,Atlantic,"1,909,632",26.15185604,-80.45588425
Charlotte County,Florida,Gulf of Mexico,"178,465",26.89984327,-81.95031597
Citrus County,Florida,Gulf of Mexico,"143,621",28.84756969,-82.52010673
Collier County,Florida,Gulf of Mexico,"365,136",26.09923899,-81.38097306
Dixie County,Florida,Gulf of Mexico,"16,300",29.58124153,-83.18703245
Duval County,Florida,Atlantic,"926,255",30.33544033,-81.64800932
Escambia County,Florida,Gulf of Mexico,"315,187",30.61439603,-87.34136433
Flagler County,Florida,Atlantic,"108,310",29.47114265,-81.29299139
