resourceID,description,startDateTime,company,vehicle
mis_1abfmakfi,FalconSAT-2,2006-03-24T22:29:40.000Z,SpaceX,Falcon 1
mis_2mjt3ozrp,DemoSat,2007-03-21T01:09:40.000Z,SpaceX,Falcon 1
mis_1i8fa8iky,Trailblazer,2008-08-03T03:33:40.000Z,SpaceX,Falcon 1
mis_1lllbkn50,RatSat,2008-09-28T23:14:40.000Z,SpaceX,Falcon 1
mis_sx2b85b4x,RazakSat,2009-07-14T03:34:40.000Z,SpaceX,Falcon 1
mis_1m2ny5m11,F9-1,2010-06-04T18:44:40.000Z,SpaceX,Falcon 9 v1.0
mis_udmakqax4,COTS-1,2010-12-08T15:42:40.000Z,SpaceX,Falcon 9 v1.0
mis_367173aaw,COTS-2+,2012-05-22T07:44:18.000Z,SpaceX,Falcon 9 v1.0
mis_1epn2ym5f,CRS-1,2012-10-08T00:34:47.000Z,SpaceX,Falcon 9 v1.0
mis_6ltzhrhyz,CRS-2,2013-03-01T15:09:53.000Z,SpaceX,Falcon 9 v1.0
mis_60si2j4u5,CASSIOPE,2013-09-29T15:59:40.000Z,SpaceX,Falcon 9 v1.1
mis_1k29uvb5f,SES-8,2013-12-03T21:40:40.000Z,SpaceX,Falcon 9 v1.1
mis_487s1uuwl,CRS-3,2014-04-18T19:25:02.000Z,SpaceX,Falcon 9 v1.1
mis_14tfaiqxc,Orbcomm OG2-1,2014-07-14T15:14:40.000Z,SpaceX,Falcon 9 v1.1
mis_13axqac44,AsiaSat-8,2014-08-05T07:59:40.000Z,SpaceX,Falcon 9 v1.1
mis_1l4bkcjj4,AsiaSat-6,2014-09-07T04:59:40.000Z,SpaceX,Falcon 9 v1.1
mis_1i835yikp,CRS-4,2014-09-21T05:51:43.000Z,SpaceX,Falcon 9 v1.1
mis_1phr8lqgu,CRS-5,2015-01-10T09:46:50.000Z,SpaceX,Falcon 9 v1.1
mis_1608l98r7,DSCOVR,2015-02-11T23:03:12.000Z,SpaceX,Falcon 9 v1.1
mis_klh5vdhrx,EutelSat 115W B/ABS 3A,2015-03-02T03:49:40.000Z,SpaceX,Falcon 9 v1.1
mis_1tkya4hof,CRS-6,2015-04-14T20:10:21.000Z,SpaceX,Falcon 9 v1.1
mis_116cfewbf,TurkmenÄlem 52E,2015-04-27T23:02:40.000Z,SpaceX,Falcon 9 v1.1
mis_bmv9nyxqc,Jason-3,2016-01-17T18:41:58.000Z,SpaceX,Falcon 9 v1.1
mis_s6dqa2rvi,CRS-7,2015-06-28T14:20:51.000Z,SpaceX,Falcon 9 v1.1
mis_s1xv83ywl,SES-9,2016-03-04T23:34:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1tzcgoytl,CRS-8,2016-04-08T20:43:12.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_15eimu72u,Orbcomm OG2 Mission 2,2015-12-22T01:28:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1qiqxobvg,JCSAT-14,2016-05-06T05:20:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_9beao3esr,Eutelsat 117W B/ABS 2A,2016-06-15T14:28:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_130cg31s6,Thaicom-8,2016-05-27T21:38:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_izsb4bj16,CRS-9,2016-07-18T04:44:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1iz4i0no7,Iridium NEXT-1,2017-01-14T17:54:14.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_14lzi7gnm,New Shepard Flight 4,2016-06-19T14:34:40.000Z,Blue Origin,
mis_10hvmota3,Amos-6,2016-09-03T06:59:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_mgcgszdww,JCSAT-16,2016-08-14T05:25:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1i3sxrpuz,WorldView-4,2016-11-11T18:30:13.000Z,United Launch Alliance,Atlas V 401
mis_vpkrhbi7s,STS-135,2011-07-08T15:28:40.000Z,NASA,Space Shuttle Atlantis OV-104
mis_ec9pzs9eq,SES-10,2017-03-30T22:26:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_16sfmghj9,CRS-10,2017-02-19T14:38:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_5zneyysnf,Inmarsat-5 F4,2017-05-15T23:20:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1otq9aclo,It's A Test,2017-05-25T04:19:40.000Z,Rocket Lab,Electron
mis_13x0utafi,EchoStar 23,2017-03-16T05:59:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1ejjo8bpw,NROL-76,2017-05-01T11:14:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1ax1x2uqg,Iridium NEXT-2,2017-06-25T20:24:58.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1pa15v7xv,Intelsat 35e,2017-07-05T23:37:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1ll59k23n,CRS-11,2017-06-03T21:07:18.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1gb7duq75,Formosat-5,2017-08-24T18:50:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_5pp7szlgd,CRS-12,2017-08-14T16:31:17.000Z,SpaceX,Falcon 9 Block 4
mis_evlupgz6s,SES-11/EchoStar 105,2017-10-11T22:52:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1p3b9vwie,OTV-5,2017-09-07T13:59:40.000Z,SpaceX,Falcon 9 Block 4
mis_g938xfxkh,Iridium NEXT-3,2017-10-09T12:36:41.000Z,SpaceX,Falcon 9 Block 4
mis_1o7vbxaxv,Zuma,2018-01-08T00:59:40.000Z,SpaceX,Falcon 9 Block 4
mis_10myrqsnv,Bloostar Demo,2017-03-14T11:59:40.000Z,Zero 2 Infinity,
mis_1fn29rn9i,CRS-13,2017-12-15T15:35:49.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1hegeoels,Iridium NEXT-4,2017-12-23T01:27:14.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_12upjcykl,"PAZ & Microsat-2a, -2b",2018-02-22T14:16:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_1c2y3dz07,Hispasat 30W-6,2018-03-06T05:32:40.000Z,SpaceX,Falcon 9 Block 4
mis_ypzvefrsp,Iridium NEXT-5,2018-03-30T14:13:31.000Z,SpaceX,Falcon 9 Block 4
mis_jj5c1stdl,BulgariaSat-1,2017-06-23T19:09:40.000Z,SpaceX,Falcon 9 Full Thrust (Block 3)
mis_eouandryc,SES-12,2018-06-04T04:44:40.000Z,SpaceX,Falcon 9 Block 4
mis_17wqv9q51,Iridium-6 / GRACE-FO,2018-05-22T19:47:38.000Z,SpaceX,Falcon 9 Block 4
mis_1u4sbzogr,Bangabandhu-1,2018-05-11T20:13:40.000Z,SpaceX,Falcon 9 Block 5
mis_r8v1i9r70,TESS,2018-04-18T22:51:10.000Z,SpaceX,Falcon 9 Block 4
mis_9wbf5o96g,CRS-14,2018-04-02T20:30:18.000Z,SpaceX,Falcon 9 Block 4
mis_16woyoa71,Telstar 19V,2018-07-22T05:49:40.000Z,SpaceX,Falcon 9 Block 5
mis_y6gfa999d,Iridium-7,2018-07-25T11:39:10.000Z,SpaceX,Falcon 9 Block 5
mis_18kgyps47,CRS-15,2018-06-29T09:42:21.000Z,SpaceX,Falcon 9 Block 4
mis_5w48nw8uq,Apollo 11,1969-07-16T13:31:40.000Z,NASA,Saturn V
mis_1rqxxt8hr,Parker Solar Probe,2018-08-12T07:30:40.000Z,United Launch Alliance,Delta IV Heavy
mis_10dadfhmw,Telstar 18V / APStar 5C,2018-09-10T04:44:40.000Z,SpaceX,Falcon 9 Block 5
mis_1sy0tfgfe,Delta II ICESat-2,2018-09-15T13:01:40.000Z,United Launch Alliance,Delta II 7420-10
mis_3symom5jy,SAOCOM-1A,2018-10-08T02:20:40.000Z,SpaceX,Falcon 9 Block 5
mis_1bepyl71a,AEHF-4,2018-10-17T04:14:40.000Z,United Launch Alliance,Atlas V 551
mis_190d9idba,Es'hail 2,2018-11-15T20:45:40.000Z,SpaceX,Falcon 9 Block 5
mis_1bgr3155u,Cygnus NG-10,2018-11-17T09:01:02.000Z,Northrop Grumman,Antares 230
mis_1d87xowti,Falcon Heavy Demo Mission,2018-02-06T20:44:40.000Z,SpaceX,Falcon Heavy
mis_1kitkmxbg,SSO-A,2018-12-03T18:33:45.000Z,SpaceX,Falcon 9 Block 5
mis_eul7jvkk9,CRS-16,2018-12-05T18:15:56.000Z,SpaceX,Falcon 9 Block 5
mis_14h2yzj71,Demo Mission 1 (DM-1),2019-03-02T07:48:40.000Z,SpaceX,Falcon 9 Block 5
mis_3zabw1i85,Falcon Heavy Block 5 // 2xRTLS // 1xDPL,2018-09-25T22:37:40.000Z,SpaceX,Ariane 5 ECA
mis_u5gmih7vp,This One's For Pickering,2018-12-16T06:32:40.000Z,Rocket Lab,Electron
mis_11d2w2c5b,GPS III-2,2018-12-23T13:50:40.000Z,SpaceX,Falcon 9 Block 5
mis_1jfdrsxbf,NROL-71,2019-01-19T19:09:40.000Z,United Launch Alliance,Delta IV Heavy
mis_5ofmb5gti,Iridium-8,2019-01-11T15:31:13.000Z,SpaceX,Falcon 9 Block 5
mis_abuxp5x0x,Beyond Demo,2019-03-31T23:59:40.000Z,NASA,
mis_1i4iibz2w,PSN-6 / GTO-1 / Beresheet,2019-02-22T01:44:40.000Z,SpaceX,Falcon 9 Block 5
mis_diqcjti5k,Arabsat-6A,2019-04-11T22:34:40.000Z,SpaceX,Falcon Heavy
mis_1577ut2gd,STP-2,2019-06-25T06:29:40.000Z,SpaceX,Falcon 9 + Crew Dragon
mis_z1sozkv4j,WGS-10,2019-03-16T00:25:40.000Z,United Launch Alliance,"Delta IV M+(5,4)"
mis_m6m3vbn32,Falcon Heavy // Dragon XL,2019-04-06T23:59:40.000Z,SpaceX,
mis_12c0gh29n,Cygnus NG-11,2019-04-17T20:45:46.000Z,Northrop Grumman,Antares 230
mis_1asd9djzq,CRS-17,2019-05-04T06:48:38.000Z,SpaceX,Falcon 9 Block 5
mis_1ke6ilb1t,MinuteMan-3 (LF-04),2019-05-01T08:15:40.000Z,SpaceX,
mis_j9fwpi6pc,MinuteMan-3 (LF-09),2019-05-01T08:15:40.000Z,SpaceX,
mis_zhzypzd2i,MinuteMan-3 (LF-10),2019-05-01T08:15:40.000Z,SpaceX,
mis_u7s5tk9qd,Vega VV14,2019-03-22T01:50:15.000Z,SpaceX,Vega
mis_1v03vwme0,That's A Funny Looking Cactus,2019-05-05T05:59:40.000Z,Rocket Lab,Electron
mis_yfiqishp8,Starlink v0.9 L1,2019-05-24T02:29:40.000Z,SpaceX,Falcon 9 Block 5
mis_1ryarn8y0,Thaicom-6,2014-01-06T22:05:40.000Z,SpaceX,Falcon 9 v1.1
mis_tofgqs4vc,Two Thumbs Up,2019-03-28T23:26:40.000Z,Rocket Lab,Electron
